Customer Last Name,Customer First Name,Customer ID,Product Category,Order Date,Quantity Ordered,Order Status,State,Address,City,Postal Code,Sale Price,Phone
Maldonado,Arielle,1290,Personal Care,2022-12-19,20,In Transit,GA,11547 Elmwood Avenue,Avondale Estates,30002,1505,770-992-9085
Trevino,Demi,1291,Sports & Outdoors,2022-12-18,10,Shipped,AL,84842 School Street,Mobile,36602,142,256-695-4589
Collier,Mckenna,1292,Electronics,2022-12-27,13,Delivered,GA,85951 State Street,Atlanta,30303,555,762-429-3050
Baldwin,Adalynn,1293,Pets,2022-12-01,12,Shipped,FL,49039 Madison Avenue,Stuart,34994,609,561-619-6756
Silva,Preston,1294,Pets,2022-12-08,11,Shipped,LA,69386 Forest Avenue,New Orleans,70112,1124,225-142-7647
Watts,Bailey,1295,Books,2022-12-20,11,Shipped,AL,1638 Jefferson Street,Montgomery,36104,55,256-115-8990
Russell,Bentley,1296,Electronics,2022-12-15,16,Delivered,AL,12662 Jefferson Street,Montgomery,36104,1032,251-455-8883
Harrington,Lillian,1297,Electronics,2022-12-30,2,Delivered,GA,99805 Willow Avenue,Atlanta,30303,920,706-596-8375
Fleming,Kayden,1298,Sports & Outdoors,2022-12-11,12,Shipped,GA,44128 Rose Street,Atlanta,30303,974,229-421-4345
Hayden,Manuel,1299,Pets,2022-12-03,3,Shipped,NC,28953 Spring Street,Columbia,29201,1104,336-332-1148
Nicholson,Hattie,1300,Personal Care,2022-12-18,18,Delivered,GA,77428 Lake Shore Drive,Savannah,31401,1042,706-191-7719
Guerra,Legacy,1301,Books,2022-12-24,11,Delivered,SC,78563 Sunset Drive,Greenville,29601,369,843-538-5910
Correa,Brantley,1302,Electronics,2022-12-27,9,Shipped,LA,90849 Valley Road,New Orleans,70112,1406,225-423-7010
Carey,Rosie,1303,Pets,2022-12-22,2,Delivered,NC,67550 Pinecrest Drive,Asheville,28801,1578,704-267-9952
Morales,Heaven,1304,Books,2022-12-14,2,Delivered,AL,13470 Sunset Avenue,Birmingham,35203,830,334-969-5546
Carroll,Chance,1305,Personal Care,2022-12-25,1,Delivered,SC,28468 Fourth Street,Charleston,29401,1583,803-934-1834
Bautista,Parker,1306,Sports & Outdoors,2022-12-16,16,Delivered,SC,77273 Broad Street,Charleston,29401,1794,843-485-2746
Fox,Kamari,1307,Clothing,2022-12-13,8,In Transit,AL,28021 Church Street,Mobile,36602,590,205-197-8253
Wong,Emerson,1308,Electronics,2022-12-17,17,Delivered,FL,15378 Vine Street,St. Petersburg,33701,990,754-152-9144
Rubio,Tatum,1309,Clothing,2022-12-01,15,Delivered,FL,86906 Madison Street,Birmingham,35203,1225,561-615-2237
Sanchez,Sarai,1310,Home & Kitchen,2022-12-26,9,Delivered,GA,40389 Cherry Street,Columbus,31908,411,762-332-5145
Dean,Gunner,1311,Sports & Outdoors,2022-12-22,9,Delivered,AL,64350 Holly Street,Mobile,36602,654,251-702-5287
Pham,Willa,1312,Electronics,2022-12-30,16,Shipped,NC,17559 Ridge Road,Chapel Hill,27514,191,252-345-9019
Mata,Cooper,1313,Pets,2022-12-08,11,In Transit,GA,27110 Railroad Avenue,Bainbridge,39828,848,706-211-2458
Mason,Jude,1314,Electronics,2022-12-28,4,Shipped,FL,49236 Elmwood Lane,St. Petersburg,33701,539,754-705-2884
Woodard,Ari,1315,Personal Care,2022-12-07,13,Shipped,NC,40539 Laurel Street,Charlotte,28202,794,704-221-4952
Watson,Alessandra,1316,Clothing,2022-12-05,1,Shipped,NC,99747 Vineyard Drive,Asheville,28801,620,704-319-3146
Coleman,Callen,1317,Pets,2022-12-23,13,Delivered,LA,44753 Glenwood Avenue,Covington,70433,1679,337-344-3026
Clay,Aria,1318,Pets,2022-12-20,19,Shipped,AL,47940 Broad Street,Mobile,36602,1456,251-347-4163
Truong,Nina,1319,Pets,2022-12-26,17,Delivered,AL,32216 Colonial Drive,Birmingham,35203,130,256-114-3476
Saunders,Freya,1320,Books,2022-12-19,2,In Transit,LA,81388 Holly Street,Baton Rouge,70802,1187,337-841-1244
Ballard,Amir,1321,Clothing,2022-12-15,20,Delivered,NC,25070 Division Street,Charlotte,28202,776,252-661-6167
Weber,Harvey,1322,Electronics,2022-12-21,11,Delivered,FL,15738 Main Street,Sunny Isles Beach,33160,1514,321-364-3389
Delarosa,Joaquin,1323,Books,2022-12-19,11,Delivered,LA,33647 Willow Avenue,Baton Rouge,70802,1023,337-905-5863
Gallagher,Adaline,1324,Books,2022-12-26,5,Delivered,SC,44385 Willow Avenue,Bluffton,29910,1552,864-621-2842
Rosales,Legacy,1325,Clothing,2022-12-01,13,Shipped,NC,4193 Harrison Street,Columbia,29201,1480,704-937-5130
Luna,Denver,1326,Clothing,2022-12-18,18,Delivered,AL,13476 Second Street,Birmingham,35203,1169,334-210-5989
Jaramillo,Emanuel,1327,Home & Kitchen,2022-12-19,6,Shipped,AL,63410 Washington Street,Adamsville,35005,920,251-765-8295
Crawford,Hugo,1328,Sports & Outdoors,2022-12-29,18,Cancelled,SC,33323 Fifth Street,Camden,29020,341,843-339-6954
Austin,Margaret,1329,Personal Care,2022-12-16,14,Delivered,AL,10432 Pennsylvania Avenue,Adamsville,35005,604,334-584-4401
Weiss,Raphael,1330,Clothing,2022-12-27,5,Shipped,LA,61346 Sunset Boulevard,New Orleans,70112,193,504-294-9183
Cardenas,Myles,1331,Sports & Outdoors,2022-12-09,19,Shipped,SC,1700 Holly Street,Camden,29020,176,854-170-4209
Cruz,Alexis,1332,Sports & Outdoors,2022-12-09,9,Delivered,NC,75569 Oakwood Avenue,Chapel Hill,27514,926,336-871-8482
Mcbride,Ellis,1333,Personal Care,2022-12-03,17,Shipped,NC,72500 Lincoln Street,Chapel Hill,27514,404,704-614-4811
Singh,Zuri,1334,Clothing,2022-12-12,17,Delivered,AL,81750 Willow Street,Mobile,36602,1554,251-801-1620
Winters,Annie,1335,Electronics,2022-12-04,1,Delivered,NC,84221 Central Avenue,Columbia,29201,1658,336-759-3682
Garcia,Dakota,1336,Books,2022-12-07,17,Shipped,NC,48298 Ash Street,Asheville,28801,1080,252-970-3343
Mcbride,Luke,1337,Pets,2022-12-03,13,Delivered,GA,41975 Oak Street,Savannah,31401,294,470-430-7312
Frye,Jasiah,1338,Clothing,2022-12-23,20,Delivered,GA,45313 Lakeview Avenue,Savannah,31401,1307,770-915-3336
Xiong,Selah,1339,Electronics,2022-12-10,20,Delivered,NC,94205 Chestnut Lane,Asheville,28801,567,704-858-8075
Pearson,Amira,1340,Electronics,2022-12-18,9,Delivered,NC,98061 Valley Road,Charlotte,28202,120,336-460-2851
Castaneda,Rylee,1341,Home & Kitchen,2022-12-04,9,Shipped,SC,99324 Liberty Street,Bluffton,29910,865,854-879-7898
Jarvis,Adelina,1342,Sports & Outdoors,2022-12-03,11,Shipped,GA,45870 Chestnut Street,Savannah,31401,1777,404-576-2929
Fields,Adelynn,1343,Electronics,2022-12-06,10,Shipped,LA,14314 Valley View Drive,New Orleans,70112,1226,318-568-1897
Keller,Miguel,1344,Sports & Outdoors,2022-12-27,10,Cancelled,LA,2146 Lincoln Street,Baton Rouge,70802,1674,318-337-7456
Rosales,Clara,1345,Clothing,2022-12-27,4,Shipped,SC,31823 Valley View Drive,Charleston,29401,1676,864-146-4544
Ali,Ronin,1346,Home & Kitchen,2022-12-20,1,Shipped,NC,81411 Terrace Avenue,Charlotte,28202,477,252-857-6234
Bartlett,Joshua,1347,Personal Care,2022-12-09,7,Delivered,LA,95885 Oakwood Avenue,Baton Rouge,70802,1037,318-515-5480
Gallagher,Kate,1348,Home & Kitchen,2022-12-25,5,Shipped,LA,78172 Windsor Avenue,New Orleans,70112,259,318-486-2375
Flynn,Daphne,1349,Books,2022-12-27,9,Delivered,LA,46843 Hillcrest Avenue,Shreveport,71101,1325,504-471-2277
Maldonado,Elise,1350,Pets,2022-12-26,5,Shipped,AL,27790 Lakeview Avenue,Birmingham,35203,1745,256-982-5039
Townsend,Charles,1351,Books,2022-12-05,15,Shipped,GA,41021 Maple Street,Columbus,31908,673,706-978-4856
Pollard,Rory,1352,Personal Care,2022-12-15,12,In Transit,FL,63972 Third Street,Fleming Island,32003,1086,407-334-8753
Clark,Zion,1353,Pets,2022-12-23,18,Delivered,LA,76614 Sunset Drive,New Orleans,70112,189,504-837-6216
Randolph,Joaquin,1354,Books,2022-12-15,5,Delivered,SC,2262 Vine Street,Bluffton,29910,589,803-532-4843
Guerra,Edgar,1355,Personal Care,2022-12-25,18,Delivered,GA,22080 Highland Drive,Avondale Estates,30002,432,404-607-5773
Johnston,Ace,1356,Electronics,2022-12-25,16,Shipped,GA,20937 Elmwood Drive,Atlanta,30303,1523,478-432-9796
Kemp,Amy,1357,Clothing,2022-12-21,5,Delivered,AL,16319 Highland Drive,Mobile,36602,1629,256-386-3628
Berger,Avianna,1358,Personal Care,2022-12-22,9,In Transit,FL,92413 Glenwood Avenue,Fleming Island,32003,1042,754-913-3408
Hogan,Bryce,1359,Pets,2022-12-09,8,Shipped,SC,69810 Fourth Street,Bluffton,29910,413,843-285-5632
Castaneda,Princeton,1360,Sports & Outdoors,2022-12-23,13,Delivered,AL,11885 Elmwood Lane,Adamsville,35005,1446,205-658-9642
Griffin,Isabella,1361,Electronics,2022-12-24,9,In Transit,SC,8113 Elmwood Avenue,Greenville,29601,19,864-671-5682
Costa,Charlie,1362,Sports & Outdoors,2022-12-05,14,Shipped,NC,71221 Central Avenue,Columbia,29201,18,704-615-8587
Schmitt,Aliyah,1363,Sports & Outdoors,2022-12-02,12,In Transit,SC,1111 Hamilton Street,Camden,29020,675,803-268-2931
Holloway,Raven,1364,Pets,2022-12-08,8,Shipped,NC,99269 Chestnut Lane,Charlotte,28202,1117,336-550-7982
Kirby,Malik,1365,Personal Care,2022-12-06,11,Shipped,NC,56871 Lakeview Drive,Charlotte,28202,1366,704-809-1091
Schwartz,Kylo,1366,Pets,2022-12-04,3,Cancelled,GA,51652 Essex Street,Savannah,31401,1306,470-500-9965
Salazar,Jeremy,1367,Home & Kitchen,2022-12-23,20,Shipped,NC,23363 Pinecrest Drive,Charlotte,28202,1444,336-776-4613
Bartlett,Oscar,1368,Home & Kitchen,2022-12-29,1,In Transit,SC,9539 Liberty Street,Bluffton,29910,249,803-813-6691
Montgomery,Harvey,1369,Pets,2022-12-15,20,Shipped,SC,74916 Broadway,Greenville,29601,994,803-494-1354
Vo,Kai,1370,Pets,2022-12-05,3,In Transit,LA,96097 School Street,Baton Rouge,70802,1059,337-215-1993
Velazquez,Nico,1371,Books,2022-12-30,9,Delivered,LA,74463 Elmwood Drive,Shreveport,71101,171,318-239-2742
Vasquez,Lucy,1372,Home & Kitchen,2022-12-29,5,Delivered,LA,47545 Elm Street,Covington,70433,598,225-596-2271
Shepherd,Charli,1373,Clothing,2022-12-05,20,In Transit,SC,81712 Main Street,Greenville,29601,591,803-980-5972
Meyer,Evie,1374,Clothing,2022-12-27,14,Delivered,NC,69525 Spruce Street,Columbia,29201,589,336-483-2616
Powell,Brooke,1375,Personal Care,2022-12-23,12,Delivered,NC,61314 Elmwood Avenue,Chapel Hill,27514,1005,252-307-7150
Walton,Erick,1376,Personal Care,2022-12-07,13,In Transit,LA,28466 Valley View Drive,Covington,70433,641,504-246-5040
Guzman,Emery,1377,Books,2022-12-13,20,Shipped,FL,58062 Center Street,Palmetto,34221,1477,754-636-8780
Rose,Annabelle,1378,Pets,2022-12-01,14,Delivered,SC,9587 Walnut Avenue,Greenville,29601,1627,864-778-3052
Schmidt,Spencer,1379,Personal Care,2022-12-06,8,Delivered,AL,40522 Lakeview Drive,Mobile,36602,876,334-553-7959
Walter,Callie,1380,Clothing,2022-12-15,18,Shipped,AL,69181 Lake Street,Adamsville,35005,1105,938-978-7898
Chavez,Cecilia,1381,Home & Kitchen,2022-12-23,6,Shipped,AL,38050 Highland Avenue,Birmingham,35203,972,205-873-8703
Blackwell,Finley,1382,Sports & Outdoors,2022-12-28,19,Shipped,LA,35620 Sixth Street,Baton Rouge,70802,787,504-772-7986
Johnston,Faith,1383,Personal Care,2022-12-20,16,Shipped,NC,33826 College Avenue,Asheville,28801,109,252-321-3512
Solis,Mary,1384,Pets,2022-12-28,3,Shipped,LA,8634 Grant Street,New Orleans,70112,533,337-911-9878
Jacobs,Abel,1385,Books,2022-12-27,6,Shipped,SC,69477 Meadow Lane,Greenville,29601,963,854-298-5958
Acevedo,Lewis,1386,Personal Care,2022-12-06,6,Delivered,FL,43583 Pine Street,St. Petersburg,33701,448,561-900-6004
Keller,Annalise,1387,Clothing,2022-12-21,2,Shipped,LA,25752 Forest Avenue,Baton Rouge,70802,299,318-605-1136
Cohen,London,1388,Personal Care,2022-12-19,10,Cancelled,NC,28698 River Road,Charlotte,28202,1829,704-870-6220
Espinosa,Myla,1389,Books,2022-12-22,2,Shipped,SC,35495 Lakeview Avenue,Camden,29020,702,864-158-1152
Watts,Dakota,1390,Personal Care,2022-12-10,18,Delivered,FL,22558 Main Street,Stuart,34994,451,727-732-5434
Thornton,Bodie,1391,Sports & Outdoors,2022-12-20,1,Delivered,LA,43904 Elm Avenue,Covington,70433,766,225-429-2694
Hunter,Abigail,1392,Clothing,2022-12-14,17,Shipped,LA,21614 Chestnut Lane,Shreveport,71101,955,225-878-3673
Ross,Delilah,1393,Personal Care,2022-12-24,6,Shipped,AL,34687 Park Street,Montgomery,36104,565,334-997-6666
Mckay,Serena,1394,Books,2022-12-11,3,Delivered,FL,23913 Park Street,Birmingham,35203,1594,561-778-3179
Rubio,Asher,1395,Sports & Outdoors,2022-12-01,14,Delivered,LA,68071 Oak Street,Shreveport,71101,1332,337-723-5323
Galindo,Shiloh,1396,Home & Kitchen,2022-12-15,20,Delivered,NC,80996 Park Avenue,Chapel Hill,27514,1546,336-539-8428
Aguilar,Veronica,1397,Pets,2022-12-13,13,Shipped,LA,91293 Spring Street,New Orleans,70112,1176,225-269-9855
Mahoney,Selah,1398,Books,2022-12-13,19,Shipped,AL,42964 Smith Street,Birmingham,35203,1663,205-193-2529
Reed,Jayden,1399,Clothing,2022-12-01,5,Delivered,NC,40685 Cherry Lane,Columbia,29201,492,704-463-5025
Carpenter,Jordan,1400,Clothing,2022-12-28,20,Cancelled,AL,53321 Sunset Drive,Birmingham,35203,1751,938-776-1366
Stokes,Jace,1401,Sports & Outdoors,2022-12-20,2,Delivered,AL,23171 Elm Street,Adamsville,35005,916,334-451-9689
Barrera,Ari,1402,Books,2022-12-31,1,Shipped,AL,20949 River Road,Montgomery,36104,803,256-634-8186
Pitts,Michelle,1403,Electronics,2022-12-27,11,Shipped,NC,60684 Walnut Street,Chapel Hill,27514,1627,252-831-3847
Christian,Brantley,1404,Electronics,2022-12-31,18,In Transit,NC,74009 Walnut Street,Columbia,29201,144,704-761-6415
Mccall,Saylor,1405,Home & Kitchen,2022-12-30,17,In Transit,AL,61606 Broadway,Adamsville,35005,579,251-150-8132
Martinez,Samantha,1406,Clothing,2022-12-24,6,Delivered,FL,18174 Hamilton Street,Fleming Island,32003,1385,305-589-6539
Acosta,Willa,1407,Personal Care,2022-12-11,3,Cancelled,FL,61222 River Road,Stuart,34994,109,407-828-7268
Jaramillo,Camilla,1408,Home & Kitchen,2022-12-04,2,Cancelled,GA,11217 Willow Avenue,Savannah,31401,531,470-268-9113
Rivers,Devin,1409,Home & Kitchen,2022-12-04,4,Shipped,FL,69467 Ash Street,Palmetto,34221,1041,727-237-8862
Hoffman,Melissa,1410,Home & Kitchen,2022-12-24,4,Delivered,AL,71226 Fourth Street,Mobile,36602,172,938-569-9607
Horn,Mabel,1411,Electronics,2022-12-28,18,In Transit,NC,19627 Railroad Avenue,Asheville,28801,576,252-712-9419
Schmitt,Daniela,1412,Electronics,2022-12-27,20,Shipped,NC,21306 Jackson Street,Charlotte,28202,528,704-156-6076
Bradshaw,Dax,1413,Personal Care,2022-12-07,15,Delivered,LA,67143 Ridge Road,Baton Rouge,70802,968,337-161-8135
Boone,Aitana,1414,Home & Kitchen,2022-12-08,12,Delivered,GA,10415 Pinecrest Drive,Columbus,31901,1860,770-251-3007
Roy,Patrick,1415,Clothing,2022-12-17,8,Delivered,LA,30173 Elm Street,Shreveport,71101,908,225-212-6224
Mccarthy,Calvin,1416,Pets,2022-12-13,9,Shipped,FL,42989 Park Street,Birmingham,35203,67,561-501-6834
Everett,Lyra,1417,Clothing,2022-12-09,7,Delivered,AL,77971 Spring Street,Birmingham,35203,561,938-570-3964
Alvarado,Zayn,1418,Clothing,2022-12-20,3,Delivered,NC,12790 Oakwood Avenue,Columbia,29201,1782,704-946-9515
Lynch,Xander,1419,Pets,2022-12-08,7,Shipped,LA,9819 Country Club Road,Covington,70433,1440,504-203-6033
Escobar,Declan,1420,Personal Care,2022-12-05,2,Shipped,FL,34740 Highland Avenue,St. Petersburg,33701,607,321-959-7129
Fisher,Zara,1421,Sports & Outdoors,2022-12-02,18,In Transit,SC,77635 Main Street,Bluffton,29910,541,864-215-9371
Gould,Lyra,1422,Electronics,2022-12-16,5,Cancelled,AL,7972 Cherry Lane,Adamsville,35005,944,334-980-4230
Contreras,Addison,1423,Pets,2022-12-04,17,Shipped,FL,36139 North Street,Palmetto,34221,103,321-637-1625
Burke,Charles,1424,Home & Kitchen,2022-12-10,16,In Transit,GA,13874 Willow Avenue,Atlanta,30303,130,229-936-3366
Owens,Maximus,1425,Home & Kitchen,2022-12-28,11,Shipped,SC,49133 Smith Street,Bluffton,29910,608,864-588-6242
Foster,Sadie,1426,Books,2022-12-28,4,Delivered,LA,93620 Court Street,Covington,70433,1637,225-806-4595
Carpenter,Sloane,1427,Electronics,2022-12-05,17,Shipped,NC,48866 College Avenue,Columbia,29201,1202,704-789-3017
Reyna,Heidi,1428,Clothing,2022-12-18,2,Delivered,FL,74404 Rose Street,St. Petersburg,33701,1304,305-366-3197
Weaver,Hallie,1429,Pets,2022-12-19,20,Delivered,SC,8622 Sunset Boulevard,Charleston,29401,1648,864-793-6596
Jensen,Jason,1430,Sports & Outdoors,2022-12-17,12,Delivered,FL,37100 Highland Drive,Birmingham,35203,1293,407-628-5163
Ayala,Elaina,1431,Sports & Outdoors,2022-12-30,6,Shipped,FL,80307 College Avenue,Stuart,34994,1214,727-741-2410
Walton,Genevieve,1432,Sports & Outdoors,2022-12-12,9,Shipped,LA,62233 Valley View Drive,Shreveport,71101,1418,504-600-9043
Kirk,Mathias,1433,Books,2022-12-12,1,Shipped,GA,4535 Rose Street,Avondale Estates,30002,1552,678-334-6067
Terrell,Isabelle,1434,Clothing,2022-12-08,10,Cancelled,NC,69697 Broadway,Chapel Hill,27514,50,704-166-8110
Norris,Kobe,1435,Personal Care,2022-12-06,2,Delivered,FL,92079 Glenwood Avenue,Sunny Isles Beach,33160,1117,407-656-9924
Huerta,Avianna,1436,Sports & Outdoors,2022-12-25,20,In Transit,NC,93670 Forest Avenue,Asheville,28801,954,336-455-8999
Hail,Raymond,1437,Electronics,2022-12-16,2,Delivered,NC,83303 Smith Street,Charlotte,28202,692,704-486-3490
Bauer,Melanie,1438,Clothing,2022-12-29,14,Shipped,AL,19079 Sunset Avenue,Birmingham,35203,1436,938-422-2143
English,Jordan,1439,Electronics,2022-12-14,6,Delivered,AL,95910 Sunset Boulevard,Adamsville,35005,1297,251-623-9054
Allen,Dakota,1440,Pets,2022-12-12,16,Cancelled,AL,71926 Forest Avenue,Adamsville,35005,1011,334-396-2542
Benson,Victor,1441,Clothing,2022-12-11,6,Shipped,SC,75024 Lakeview Drive,Camden,29020,1228,854-900-8198
Blankenship,Gabriel,1442,Home & Kitchen,2022-12-23,18,Delivered,SC,75562 School Street,Bluffton,29910,761,854-724-1788
Cunningham,Julia,1443,Pets,2022-12-13,19,Delivered,SC,49249 Harrison Street,Charleston,29401,466,864-622-4902
Cantu,Callen,1444,Personal Care,2022-12-10,16,Delivered,AL,11793 Colonial Drive,Montgomery,36104,319,205-726-1026
Stewart,Nylah,1445,Books,2022-12-10,13,Shipped,SC,17840 Fifth Street,Camden,29020,57,803-481-3507
Rich,Paul,1446,Home & Kitchen,2022-12-30,9,Delivered,LA,63003 Glenwood Avenue,New Orleans,70112,1505,225-554-4336
Monroe,Marco,1447,Electronics,2022-12-15,20,Delivered,AL,4043 Ridge Road,Mobile,36602,739,256-473-6334
Cherry,Diego,1448,Personal Care,2022-12-12,7,Shipped,GA,76103 Jackson Street,Columbus,31908,1772,478-319-1016
